Població per sexe i edat any a any
Catalunya. 1 de gener de 2020
Font: Idescat. Estimacions de població.
"Nota: Les xifres de població a 1 de juliol de 2019 i 1 de gener de 2020 són dades provisionals, estan vigents fins que siguin substituïdes per les estimacions postcensals definitives i estan disponibles només per a Catalunya, les províncies i els àmbits del pla territorial."
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=ep&n=9123
Edats,Homes,Dones,Total
0 anys,31545,29926,61471
1 any,33703,31971,65674
2 anys,36086,33849,69935
3 anys,37451,35610,73061
4 anys,38845,36513,75358
5 anys,39603,37040,76643
6 anys,38959,36717,75676
7 anys,41310,38899,80209
8 anys,42882,40382,83264
9 anys,43913,41107,85020
10 anys,44474,41304,85778
11 anys,46238,43463,89701
12 anys,44372,41394,85766
13 anys,44243,41397,85640
14 anys,43624,40613,84237
15 anys,43105,40301,83406
16 anys,42678,39053,81731
17 anys,41512,37783,79295
18 anys,41339,37503,78842
19 anys,42096,38538,80634
20 anys,40857,38079,78936
21 anys,40549,37043,77592
22 anys,41070,38606,79676
23 anys,41419,38575,79994
24 anys,41363,39702,81065
25 anys,42573,41120,83693
26 anys,43857,42726,86583
27 anys,45376,44305,89681
28 anys,45094,44222,89316
29 anys,45523,45059,90582
30 anys,45819,45620,91439
31 anys,46199,46745,92944
32 anys,46247,46434,92681
33 anys,46192,48093,94285
34 anys,48047,49280,97327
35 anys,49174,50506,99680
36 anys,50890,52252,103142
37 anys,54377,55103,109480
38 anys,57300,57076,114376
39 anys,59771,60261,120032
40 anys,62460,61695,124155
41 anys,66182,64730,130912
42 anys,67994,65728,133722
43 anys,68475,66759,135234
44 anys,69254,66466,135720
45 anys,68246,65647,133893
46 anys,65877,63916,129793
47 anys,64936,62742,127678
48 anys,63012,60834,123846
49 anys,61775,60066,121841
50 anys,59431,58214,117645
51 anys,58529,57204,115733
52 anys,58060,57767,115827
53 anys,56683,56111,112794
54 anys,55009,55618,110627
55 anys,55159,55706,110865
56 anys,50935,52797,103732
57 anys,49514,51588,101102
58 anys,47416,50418,97834
59 anys,47148,50392,97540
60 anys,45844,49608,95452
61 anys,45342,48736,94078
62 anys,43658,47511,91169
63 anys,40737,44561,85298
64 anys,39533,43459,82992
65 anys,37924,42331,80255
66 anys,37533,41851,79384
67 anys,37244,41704,78948
68 anys,34372,39246,73618
69 anys,33004,38193,71197
70 anys,34347,39771,74118
71 anys,35569,42209,77778
72 anys,32291,37974,70265
73 anys,29659,35635,65294
74 anys,30866,37253,68119
75 anys,28140,34868,63008
76 anys,26939,33448,60387
77 anys,22400,28063,50463
78 anys,20357,26268,46625
79 anys,25182,32063,57245
80 anys,13181,17867,31048
81 anys,15427,21585,37012
82 anys,17891,25538,43429
83 anys,17496,26944,44440
84 anys,15695,24529,40224
85 anys,14282,23013,37295
86 anys,13178,22396,35574
87 anys,11622,20640,32262
88 anys,9805,18355,28160
89 anys,8286,16817,25103
90 anys,6712,13709,20421
91 anys,5297,11785,17082
92 anys,4095,9579,13674
93 anys,3184,8252,11436
94 anys,2330,6388,8718
95 anys,1635,4846,6481
96 anys,1112,3575,4687
97 anys,863,2611,3474
98 anys,510,1790,2300
99 anys,346,1298,1644
100 anys i més,404,2130,2534
Total,3790062,3936967,7727029

