[run number],hygienicDiscipline,tracingEffect,confinementDiscipline,densityCenters,[step],ticks,initPopulation,count turtles,immunityCounter,deceasedCounter,infectedCounter,testCounter,wageCost,maxInfected
4,0,0,0,0,397,397,1005,964,630,41,877,202,0,417
5,0,0,0,0,404,404,1016,973,635,43,931,188,0,496
1,0,0,0,0,411,411,1008,962,627,46,899,206,0,443
3,0,0,0,0,411,411,1013,972,635,41,882,198,0,419
2,0,0,0,0,423,423,1007,960,625,47,878,222,0,417
8,0,0,0,0,432,432,1021,966,628,55,888,186,0,413
6,0,0,0,0,422,422,1007,973,635,34,881,209,0,430
7,0,0,0,0,416,416,1022,969,630,53,904,215,0,447
9,0,0,0,0,395,395,1026,983,641,43,921,221,0,463
11,0,0,0,0,394,394,1006,957,625,49,904,230,0,460
12,0,0,0,0,401,401,1015,957,624,58,886,203,0,423
16,0,0,0,0,393,393,1005,968,630,37,888,211,0,459
10,0,0,0,0,410,410,1018,971,633,47,883,188,0,448
14,0,0,0,0,414,414,1012,963,628,49,885,191,0,439
15,0,0,0,0,415,415,1019,972,633,47,875,175,0,422
13,0,0,0,0,426,426,1014,963,628,51,899,190,0,458
20,0,0,0,0,387,387,1010,961,625,49,870,196,0,427
21,0,0,0,1,424,424,1003,968,631,35,854,213,0,403
18,0,0,0,0,423,423,1020,981,640,39,911,223,0,439
17,0,0,0,0,436,436,1011,971,632,40,881,187,0,427
23,0,0,0,1,455,455,1008,964,627,44,855,193,0,409
24,0,0,0,1,447,447,1013,966,629,47,879,182,0,400
22,0,0,0,1,466,466,1006,963,626,43,869,209,0,373
19,0,0,0,0,438,438,1022,978,638,44,907,206,0,409
25,0,0,0,1,458,458,1009,965,628,44,885,207,0,386
26,0,0,0,1,453,453,1016,976,637,40,906,204,0,386
27,0,0,0,1,431,431,1010,949,618,61,866,201,0,377
30,0,0,0,1,429,429,1014,966,628,48,875,199,0,393
29,0,0,0,1,450,450,1021,967,629,54,861,205,0,377
28,0,0,0,1,485,485,1004,956,622,48,866,182,0,349
32,0,0,0,1,459,459,1003,958,623,45,837,183,0,352
31,0,0,0,1,473,473,1015,971,632,44,875,199,0,380
34,0,0,0,1,450,450,1007,959,624,48,860,188,0,375
33,0,0,0,1,453,453,1005,957,624,48,872,202,0,382
36,0,0,0,1,449,449,1008,955,624,53,890,194,0,375
35,0,0,0,1,474,474,1016,966,628,50,853,206,0,404
37,0,0,0,1,450,450,1013,977,636,36,875,224,0,426
38,0,0,0,1,460,460,1012,972,633,40,870,200,0,386
39,0,0,0,1,458,458,1022,981,638,41,878,206,0,392
40,0,0,0,1,459,459,1005,969,631,36,857,164,0,379
42,0,0,0,2,435,435,1014,966,628,48,853,199,0,378
41,0,0,0,2,459,459,1018,970,632,48,868,192,0,349
44,0,0,0,2,463,463,1009,958,623,51,844,190,0,369
45,0,0,0,2,473,473,1009,968,632,41,882,194,0,365
43,0,0,0,2,501,501,1008,959,628,49,872,225,0,373
46,0,0,0,2,466,466,1005,960,624,45,827,188,0,362
48,0,0,0,2,441,441,1012,972,633,40,833,216,0,363
47,0,0,0,2,480,480,1018,984,641,34,854,216,0,357
49,0,0,0,2,446,446,1008,963,626,45,844,217,0,366
51,0,0,0,2,451,451,1010,970,632,40,881,189,0,397
50,0,0,0,2,519,519,997,945,616,52,826,206,0,331
54,0,0,0,2,474,474,1011,965,629,46,841,166,0,334
52,0,0,0,2,484,484,1014,968,631,46,844,198,0,365
55,0,0,0,2,488,488,1011,968,632,43,835,202,0,354
53,0,0,0,2,513,513,1010,973,637,37,835,225,0,349
56,0,0,0,2,496,496,1017,976,635,41,834,195,0,347
57,0,0,0,2,486,486,1014,961,625,53,870,205,0,314
59,0,0,0,2,471,471,1011,968,631,43,858,202,0,389
58,0,0,0,2,495,495,1014,967,629,47,841,175,0,334
61,0,0,0.25,0,393,393,1024,978,636,46,884,207,2505,432
63,0,0,0.25,0,405,405,1008,964,628,44,902,230,3057,449
60,0,0,0,2,494,494,1016,981,638,35,833,200,0,314
62,0,0,0.25,0,423,423,1021,980,637,41,915,214,3010,459
64,0,0,0.25,0,429,429,1015,964,628,51,885,224,2913,405
65,0,0,0.25,0,392,392,1010,966,630,44,890,220,2950,441
